Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.71814292951013E-05,0.00162414381721162,-0.0125699477944302,0,0,0,0.0483184538892821,1.5828128500131E-05,8.31810832114208E-07,-1.08217563471799E-07,3.94036713713429E-05,-3.07180859272079E-06,3.9835265766736E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://robot_humanoid/meshes/base_link.STL,,Hip-1/vb_1-1;Hip-1/mh1-1;Hip-1/mh2-1,base_cor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_hip_left_link,0.0105399293381448,-0.0102302850975857,0.0211771873022691,0,0,0,0.107894198693898,1.74833584475852E-05,-5.42621266297093E-11,-6.14098886759368E-21,2.77733120653056E-05,-1.55692496780741E-10,1.7482432927055E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/base_hip_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://robot_humanoid/meshes/base_hip_left_link.STL,,Left_Leg-1/Servo_MG996-4/MG996R Shaft-1;Left_Leg-1/Servo_MG996-4/MG996R-1;Left_Leg-1/Servo_MG996-5/MG996R-1,hor_hip_left_cor,hor_hip_left_axis,base_hip_left_joint,revolute,-0.0357,-0.019255,-0.027,1.5708,0,3.1064,base_link,0,0,1,0,0,0,0,,,,,,,,
hip_hip_left_link,-0.00424611195124075,-0.0343742172733461,-0.018392018683035,0,0,0,0.12988008385202,3.54199501553719E-05,3.6434785049625E-07,-9.72480962324895E-09,2.7425240525354E-05,-9.88439397000031E-09,2.96024606419154E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/hip_hip_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://robot_humanoid/meshes/hip_hip_left_link.STL,,Left_Leg-1/Servo_MG996-5/MG996R Shaft-1;Left_Leg-1/Servo_MG996-5/MG996R-1;Left_Leg-1/ktc_1-1;Left_Leg-1/ktc_3-1;Left_Leg-1/Servo_MG996-2/MG996R-1,ver_hip_left_cor,ver_hip_left_axis,hip_hip_left_joint,revolute,0.0295000000000003,-0.0205000000000002,0.0105000000000001,0,1.5707963267949,0,base_hip_left_link,0,0,-1,0,0,0,0,,,,,,,,
hip_knee_left_link,5.55836626725537E-13,-0.0521312435295957,-0.0183200192904703,0,0,0,0.130204487068308,4.59198297284827E-05,-2.0995450048482E-10,-7.13984823547857E-16,2.02899102704369E-05,-1.35613409155228E-15,3.28558642041373E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/hip_knee_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://robot_humanoid/meshes/hip_knee_left_link.STL,,Left_Leg-1/Servo_MG996-2/MG996R Shaft-1;Left_Leg-1/Servo_MG996-2/MG996R-1;Left_Leg-1/od-2;Left_Leg-1/od-1;Left_Leg-1/Servo_MG996-3/MG996R-1,knee_left_cor,knee_left_axis,hip_knee_left_joint,revolute,0,-0.0599999999999997,0,0,0,0,hip_hip_left_link,0,0,-1,0,0,0,0,,,,,,,,
knee_ankle_left_link,-0.000605766944932005,-0.0469801174439637,-0.0116109882348644,0,0,0,0.0814463522717177,1.86604517011287E-05,1.64723788355277E-06,4.58631415157031E-07,2.38739038507343E-05,-1.44797791059248E-06,1.7876768644325E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/knee_ankle_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://robot_humanoid/meshes/knee_ankle_left_link.STL,,Left_Leg-1/Servo_MG996-3/MG996R Shaft-1;Left_Leg-1/mcc_2-1;Left_Leg-1/mcc_3-1;Left_Leg-1/mcc_1-1;Left_Leg-1/Servo_MG996-1/MG996R-1,ver_ankle_left_cor,ver_ankle_left_axis,knee_ankle_left_joint,revolute,0,-0.1034,0,0,0,0,hip_knee_left_link,0,0,-1,0,0,0,0,,,,,,,,
knee_knee_left_link,-0.00809509712634163,-0.00727461919403294,-0.0218892657362359,0,0,0,0.0850053645564242,2.80542145236209E-05,5.98719522766253E-07,-9.6741360429222E-09,4.73017474375486E-05,5.07151850919877E-11,2.35375503041348E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/knee_knee_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://robot_humanoid/meshes/knee_knee_left_link.STL,,Left_Leg-1/Servo_MG996-1/MG996R Shaft-1;Left_Leg-1/Servo_MG996-1/MG996R-1;Left_Leg-1/bc-1,hor_ankle_left_cor,hor_ankle_left_axis,knee_knee_left_link,revolute,0.0214999999999998,-0.0570000000000001,-0.0179999999999996,0,1.5707963267949,0,knee_ankle_left_link,0,0,-1,0,0,0,0,,,,,,,,
base_hip_right_link,0.00949195873399521,-0.0102300939247333,-0.0222251579322365,0,0,0,0.107894198771709,1.74833584185863E-05,5.42621122747514E-11,1.00585162486448E-21,2.77733119961605E-05,-1.5569202862852E-10,1.74824328980561E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/base_hip_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://robot_humanoid/meshes/base_hip_right_link.STL,,Right_Leg-1/Servo_MG996-5/MG996R Shaft-1;Right_Leg-1/Servo_MG996-5/MG996R-1;Right_Leg-1/Servo_MG996-4/MG996R-1,hor_hip_right_cor,hor_hip_right_axis,base_hip_right_joint,revolute,0.034256,-0.02172,-0.027,1.5708,0,-0.035225,base_link,0,0,-1,0,0,0,0,,,,,,,,
hip_hip_right_link,0.00424619136960429,-0.0343747407536696,-0.0218920186721144,0,0,0,0.129880083890925,3.54199501199786E-05,-3.64347510948121E-07,9.62339732840965E-09,2.74252404907814E-05,-9.4638785584597E-09,2.96024606483097E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/hip_hip_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://robot_humanoid/meshes/hip_hip_right_link.STL,,Right_Leg-1/Servo_MG996-4/MG996R Shaft-1;Right_Leg-1/Servo_MG996-4/MG996R-1;Right_Leg-1/ktc_1-1;Right_Leg-1/ktc_3-1;Right_Leg-1/Servo_MG996-3/MG996R-1,ver_hip_right_cor,ver_hip_right_axis,hip_hip_right_joint,revolute,0.0308999999999979,-0.0204999999999999,-0.0125999999999999,0,1.5707963267949,0,base_hip_right_link,0,0,-1,0,0,0,0,,,,,,,,
hip_knee_right_link,5.56270307594531E-13,-0.0521312435295957,-0.0218200192904817,0,0,0,0.130204487068308,4.59198297284826E-05,-2.0995450043251E-10,-7.13990964536725E-16,2.02899102704369E-05,-1.3561444097291E-15,3.28558642041372E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/hip_knee_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://robot_humanoid/meshes/hip_knee_right_link.STL,,Right_Leg-1/Servo_MG996-3/MG996R Shaft-1;Right_Leg-1/Servo_MG996-3/MG996R-1;Right_Leg-1/od-1;Right_Leg-1/od-2;Right_Leg-1/Servo_MG996-2/MG996R-1,knee_right_cor,knee_right_axis,hip_knee_right_joint,revolute,0,-0.0599999999999997,0,0,0,0,hip_hip_right_link,0,0,-1,0,0,0,0,,,,,,,,
knee_ankle_right_link,-0.000996730313927632,-0.0274353612822382,-0.0222052426925548,0,0,0,0.0276035181342435,9.49152414080072E-06,1.64718716836771E-06,4.48957279114104E-07,9.98822104115909E-06,-1.44787293328077E-06,9.56428420322296E-06,0,0,0,0,0,0,package://robot_humanoid/meshes/knee_ankle_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://robot_humanoid/meshes/knee_ankle_right_link.STL,,Right_Leg-1/Servo_MG996-2/MG996R Shaft-1;Right_Leg-1/mcc_2-1;Right_Leg-1/mcc_3-1;Right_Leg-1/mcc_1-1,ver_ankle_right_cor,ver_ankle_right_axis,knee_ankle_right_joint,revolute,0,-0.1034,0,0,0,0,hip_knee_right_link,0,0,-1,0,0,0,0,,,,,,,,
ankle_ankle_right_link,-0.00800882305238669,-0.00719708942205416,-0.0220325515118766,0,0,0,0.0859210745253492,2.80785040387897E-05,5.98719522766305E-07,-9.67413604292422E-09,4.73260369527174E-05,5.07151851109081E-11,2.35857406634983E-05,0,0,0,0,0,0,package://robot_humanoid/meshes/ankle_ankle_right_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://robot_humanoid/meshes/ankle_ankle_right_link.STL,,Right_Leg-1/ktS-2;Right_Leg-1/Servo_MG996-1/MG996R-1;Right_Leg-1/bc-1,hor_ankle_right_cor,hor_ankle_right_axis,ankle_ankle_right_joint,revolute,0.0214999999999996,-0.0570000000000001,-0.0215000000000021,0,1.5707963267949,0,knee_ankle_right_link,0,0,-1,0,0,0,0,,,,,,,,
