Episode,Reward,Steps,Reason,Time
0,347.75,152,FALL,15:04:00
1,66.24,144,FALL,15:04:12
2,260.86,121,FALL,15:04:23
3,58.85,77,FALL,15:04:32
4,35.50,29,FALL,15:04:38
5,147.71,95,FALL,15:04:47
6,448.47,176,FALL,15:05:02
7,135.13,64,FALL,15:05:09
8,1.30,33,FALL,15:05:15
9,11.02,86,FALL,15:05:24
10,772.62,346,FALL,15:05:47
11,83.28,63,FALL,15:05:54
12,14.02,36,FALL,15:06:00
13,431.33,227,FALL,15:06:16
14,17.41,31,FALL,15:06:22
15,25.24,32,FALL,15:06:28
16,-19.83,48,FALL,15:06:35
17,-39.88,79,FALL,15:06:43
18,36.09,30,FALL,15:06:49
19,-9.26,18,FALL,15:06:54
20,25.44,54,FALL,15:07:01
21,22.56,36,FALL,15:07:07
22,40.45,63,FALL,15:07:15
23,57.24,40,FALL,15:07:22
24,29.83,32,FALL,15:07:28
25,103.12,58,FALL,15:07:35
26,50.94,39,FALL,15:07:41
27,45.15,31,FALL,15:07:47
28,58.99,33,FALL,15:07:53
29,9.36,33,FALL,15:07:59
30,397.65,152,FALL,15:08:12
31,29.82,32,FALL,15:08:17
32,14.25,30,FALL,15:08:23
33,-166.03,112,FALL,15:08:33
34,181.16,122,FALL,15:08:44
35,39.94,33,FALL,15:08:50
36,21.43,30,FALL,15:08:56
37,34.09,34,FALL,15:09:02
38,133.24,63,FALL,15:09:09
39,112.30,91,FALL,15:09:18
40,38.19,35,FALL,15:09:24
41,32.66,41,FALL,15:09:30
42,4.42,24,FALL,15:09:36
43,125.10,66,FALL,15:09:44
44,125.03,122,FALL,15:09:54
45,-26.63,82,FALL,15:10:03
46,57.39,46,FALL,15:10:10
47,64.56,53,FALL,15:10:16
48,5.98,45,FALL,15:10:23
49,-4.38,18,FALL,15:10:28
50,173.03,87,FALL,15:10:37
51,60.70,64,FALL,15:10:44
52,158.25,72,FALL,15:10:52
53,56.49,73,FALL,15:11:00
54,46.66,35,FALL,15:11:06
55,189.03,118,FALL,15:11:17
56,217.78,86,FALL,15:11:26
57,54.80,34,FALL,15:11:32
58,55.94,64,FALL,15:11:40
59,29.12,36,FALL,15:11:46
60,58.05,36,FALL,15:11:52
61,112.53,62,FALL,15:12:00
62,317.51,180,FALL,15:12:14
63,-5.52,28,FALL,15:12:19
64,142.80,228,FALL,15:12:36
65,52.29,68,FALL,15:12:43
66,7.05,47,FALL,15:12:50
67,115.75,81,FALL,15:12:59
68,37.86,45,FALL,15:13:05
69,30.48,40,FALL,15:13:12
70,6.70,33,FALL,15:13:18
71,236.55,130,FALL,15:13:29
72,54.03,69,FALL,15:13:37
73,-7.16,24,FALL,15:13:42
74,75.28,87,FALL,15:13:51
75,128.96,88,FALL,15:14:00
76,-17.21,59,FALL,15:14:07
77,19.47,48,FALL,15:14:14
78,-0.39,18,FALL,15:14:19
79,18.12,34,FALL,15:14:25
80,5.80,30,FALL,15:14:31
81,11.79,33,FALL,15:14:37
82,21.92,37,FALL,15:14:43
83,33.52,32,FALL,15:14:49
84,-6.99,63,FALL,15:14:57
85,-5.86,16,FALL,15:15:02
86,20.62,32,FALL,15:15:08
87,38.77,38,FALL,15:15:14
88,168.36,88,FALL,15:15:23
89,21.97,40,FALL,15:15:30
90,67.22,61,FALL,15:15:37
91,66.98,111,FALL,15:15:47
92,34.42,38,FALL,15:15:53
93,167.35,108,FALL,15:16:03
94,187.83,96,FALL,15:16:12
95,2.07,29,FALL,15:16:18
96,17.78,65,FALL,15:16:26
97,65.08,47,FALL,15:16:32
98,121.67,96,FALL,15:16:42
99,161.63,97,FALL,15:16:51
100,265.82,168,FALL,15:17:05
101,46.69,34,FALL,15:17:10
102,195.90,102,FALL,15:17:20
103,-35.68,47,FALL,15:17:27
104,15.96,30,FALL,15:17:33
105,0.68,19,FALL,15:17:38
106,1.99,18,FALL,15:17:43
107,83.26,52,FALL,15:17:50
108,-7.55,22,FALL,15:17:55
109,40.50,30,FALL,15:18:01
110,169.51,141,FALL,15:18:13
111,79.03,47,FALL,15:18:19
112,64.39,91,FALL,15:18:29
113,-4.80,22,FALL,15:18:34
114,69.02,122,FALL,15:18:45
115,4.39,18,FALL,15:18:50
116,-5.63,62,FALL,15:18:57
117,-10.50,27,FALL,15:19:03
118,52.34,62,FALL,15:19:11
119,62.29,50,FALL,15:19:17
120,75.71,71,FALL,15:19:25
121,38.98,73,FALL,15:19:33
122,-1.08,34,FALL,15:19:39
123,28.43,47,FALL,15:19:46
124,18.06,77,FALL,15:19:54
125,33.94,38,FALL,15:20:01
126,11.00,39,FALL,15:20:07
127,-21.62,79,FALL,15:20:15
128,203.61,113,FALL,15:20:25
129,168.49,86,FALL,15:20:34
130,54.98,37,FALL,15:20:40
131,43.40,32,FALL,15:20:46
132,139.58,110,FALL,15:20:56
133,46.79,33,FALL,15:21:02
134,210.76,114,FALL,15:21:12
135,81.30,66,FALL,15:21:20
136,301.52,145,FALL,15:21:32
137,325.19,147,FALL,15:21:44
138,77.94,90,FALL,15:21:53
139,45.72,62,FALL,15:22:01
140,104.48,91,FALL,15:22:09
141,45.95,42,FALL,15:22:16
142,7.19,50,FALL,15:22:23
143,243.34,105,FALL,15:22:32
144,-9.23,21,FALL,15:22:38
145,75.20,56,FALL,15:22:45
146,10.73,29,FALL,15:22:50
147,27.48,31,FALL,15:22:56
148,26.35,35,FALL,15:23:02
149,302.69,162,FALL,15:23:15
150,21.66,64,FALL,15:23:23
151,86.94,143,FALL,15:23:34
152,223.22,107,FALL,15:23:44
153,145.17,84,FALL,15:23:53
154,27.66,30,FALL,15:23:59
155,87.42,65,FALL,15:24:06
156,20.42,29,FALL,15:24:12
157,210.41,90,FALL,15:24:21
158,42.55,36,FALL,15:24:27
159,-18.72,31,FALL,15:24:33
160,26.96,33,FALL,15:24:39
161,535.38,202,FALL,15:24:54
162,184.45,124,FALL,15:25:05
163,339.18,220,FALL,15:25:20
164,-28.58,55,FALL,15:25:27
165,0.67,47,FALL,15:25:34
166,9.58,37,FALL,15:25:40
167,90.30,167,FALL,15:25:53
168,372.89,188,FALL,15:26:07
169,113.57,162,FALL,15:26:20
170,37.90,41,FALL,15:26:27
171,47.37,59,FALL,15:26:34
172,23.51,38,FALL,15:26:40
173,177.83,127,FALL,15:26:52
174,32.04,40,FALL,15:26:58
175,41.17,41,FALL,15:27:04
176,32.94,48,FALL,15:27:11
177,56.34,65,FALL,15:27:19
178,24.67,36,FALL,15:27:25
179,19.82,32,FALL,15:27:31
180,20.49,34,FALL,15:27:37
181,290.94,122,FALL,15:27:47
182,51.70,32,FALL,15:27:53
183,23.44,32,FALL,15:27:59
184,30.69,51,FALL,15:28:06
185,-1.50,18,FALL,15:28:11
186,41.98,56,FALL,15:28:18
187,166.03,89,FALL,15:28:27
188,26.54,32,FALL,15:28:33
189,-6.94,25,FALL,15:28:39
190,14.60,20,FALL,15:28:44
191,220.72,94,FALL,15:28:53
192,281.60,117,FALL,15:29:03
193,137.80,66,FALL,15:29:11
194,122.70,60,FALL,15:29:19
195,21.85,56,FALL,15:29:26
196,28.87,44,FALL,15:29:33
197,103.37,65,FALL,15:29:40
198,43.92,34,FALL,15:29:47
199,486.62,209,FALL,15:30:03
200,11.63,48,FALL,15:30:10
201,12.41,20,FALL,15:30:15
202,63.96,77,FALL,15:30:23
203,23.23,64,FALL,15:30:30
204,504.71,297,FALL,15:30:50
205,2.90,19,FALL,15:30:56
206,241.78,120,FALL,15:31:06
207,116.53,64,FALL,15:31:14
208,149.86,83,FALL,15:31:22
209,57.96,58,FALL,15:31:29
210,88.87,94,FALL,15:31:39
211,28.57,41,FALL,15:31:45
212,-53.42,126,FALL,15:31:56
213,56.07,51,FALL,15:32:03
214,293.17,118,FALL,15:32:13
215,155.28,121,FALL,15:32:25
216,46.80,38,FALL,15:32:31
217,23.39,136,FALL,15:32:43
218,97.91,63,FALL,15:32:51
219,48.42,37,FALL,15:32:57
220,318.28,172,FALL,15:33:12
221,28.26,31,FALL,15:33:18
222,22.09,35,FALL,15:33:24
223,252.57,142,FALL,15:33:37
224,248.41,174,FALL,15:33:51
225,35.27,31,FALL,15:33:57
226,102.41,72,FALL,15:34:06
227,106.31,132,FALL,15:34:18
228,681.04,261,FALL,15:34:37
229,37.64,33,FALL,15:34:43
230,114.57,66,FALL,15:34:51
231,397.54,156,FALL,15:35:04
232,273.24,125,FALL,15:35:15
233,35.32,31,FALL,15:35:21
234,58.41,59,FALL,15:35:29
235,93.21,52,FALL,15:35:36
236,-9.74,23,FALL,15:35:41
237,101.77,65,FALL,15:35:49
238,47.42,38,FALL,15:35:55
239,28.80,32,FALL,15:36:01
240,104.88,69,FALL,15:36:09
241,147.83,102,FALL,15:36:19
242,-11.28,37,FALL,15:36:26
243,182.25,195,FALL,15:36:41
244,136.52,63,FALL,15:36:49
245,55.42,174,FALL,15:37:03
246,21.54,32,FALL,15:37:09
247,834.35,351,FALL,15:37:32
248,0.09,90,FALL,15:37:41
249,51.90,75,FALL,15:37:49
250,529.35,218,FALL,15:38:05
251,164.33,108,FALL,15:38:16
252,6.32,36,FALL,15:38:22
253,815.99,351,FALL,15:38:46
254,255.38,130,FALL,15:38:57
255,102.52,57,FALL,15:39:05
256,338.98,151,FALL,15:39:18
257,155.98,108,FALL,15:39:28
258,89.07,75,FALL,15:39:37
259,151.65,83,FALL,15:39:46
260,7.45,30,FALL,15:39:52
261,1.18,20,FALL,15:39:57
262,49.29,36,FALL,15:40:03
263,35.94,28,FALL,15:40:09
264,227.99,98,FALL,15:40:18
265,39.32,33,FALL,15:40:24
266,61.92,62,FALL,15:40:32
267,244.80,119,FALL,15:40:43
268,87.36,71,FALL,15:40:51
269,160.75,80,FALL,15:41:00
270,5.85,16,FALL,15:41:05
271,132.88,71,FALL,15:41:13
272,10.03,84,FALL,15:41:22
273,1.29,69,FALL,15:41:30
274,243.20,115,FALL,15:41:40
275,131.20,74,FALL,15:41:48
276,192.25,89,FALL,15:41:58
277,168.39,92,FALL,15:42:07
278,-25.73,50,FALL,15:42:14
279,46.11,52,FALL,15:42:21
280,227.50,119,FALL,15:42:32
281,112.56,62,FALL,15:42:39
282,-24.52,65,FALL,15:42:47
283,-1.66,40,FALL,15:42:54
284,124.36,99,FALL,15:43:03
285,-27.49,78,FALL,15:43:12
286,274.01,122,FALL,15:43:23
287,111.57,93,FALL,15:43:32
288,45.60,36,FALL,15:43:38
289,-5.51,88,FALL,15:43:48
290,110.07,59,FALL,15:43:55
291,411.40,197,FALL,15:44:10
292,31.57,49,FALL,15:44:17
293,333.61,142,FALL,15:44:29
294,-9.73,20,FALL,15:44:35
295,27.85,38,FALL,15:44:41
296,67.20,87,FALL,15:44:50
297,361.69,155,FALL,15:45:03
298,103.11,117,FALL,15:45:14
299,275.39,118,FALL,15:45:25
300,96.94,63,FALL,15:45:33
301,21.44,33,FALL,15:45:39
302,18.76,32,FALL,15:45:44
303,77.46,62,FALL,15:45:52
304,154.43,96,FALL,15:46:01
305,36.65,83,FALL,15:46:10
306,314.32,129,FALL,15:46:21
307,9.68,19,FALL,15:46:26
308,845.11,348,FALL,15:46:49
309,91.06,61,FALL,15:46:56
310,133.27,92,FALL,15:47:05
311,47.16,110,FALL,15:47:16
312,100.01,63,FALL,15:47:24
313,41.39,36,FALL,15:47:30
314,245.44,203,FALL,15:47:45
315,31.06,33,FALL,15:47:51
316,268.08,126,FALL,15:48:02
317,475.26,182,FALL,15:48:16
318,226.80,130,FALL,15:48:27
319,276.85,152,FALL,15:48:39
320,13.21,32,FALL,15:48:45
321,454.70,182,FALL,15:49:00
322,38.02,37,FALL,15:49:06
323,107.03,62,FALL,15:49:14
324,-10.77,43,FALL,15:49:20
325,104.34,112,FALL,15:49:31
326,452.24,179,FALL,15:49:44
327,51.80,52,FALL,15:49:51
328,-3.14,29,FALL,15:49:57
329,122.06,181,FALL,15:50:11
330,264.49,178,FALL,15:50:24
331,220.56,121,FALL,15:50:35
332,194.30,138,FALL,15:50:47
333,195.85,95,FALL,15:50:56
334,202.27,128,FALL,15:51:07
335,17.19,45,FALL,15:51:13
336,55.59,36,FALL,15:51:20
337,7.77,35,FALL,15:51:26
338,-31.53,50,FALL,15:51:33
339,-8.02,23,FALL,15:51:38
340,170.08,92,FALL,15:51:48
341,57.26,39,FALL,15:51:54
342,14.48,33,FALL,15:52:00
343,136.95,60,FALL,15:52:08
344,-104.50,77,FALL,15:52:16
345,189.30,107,FALL,15:52:27
346,-44.20,97,FALL,15:52:36
347,100.54,56,FALL,15:52:43
348,271.24,154,FALL,15:52:56
349,96.42,70,FALL,15:53:04
350,15.54,49,FALL,15:53:11
351,84.38,73,FALL,15:53:19
352,303.09,123,FALL,15:53:30
353,247.76,115,FALL,15:53:41
354,30.79,37,FALL,15:53:47
355,19.48,31,FALL,15:53:53
356,11.20,18,FALL,15:53:58
357,335.38,153,FALL,15:54:11
358,-1.30,19,FALL,15:54:16
359,74.26,64,FALL,15:54:23
360,478.41,185,FALL,15:54:38
361,16.24,49,FALL,15:54:45
362,64.85,63,FALL,15:54:53
363,91.69,68,FALL,15:55:01
364,19.15,32,FALL,15:55:07
365,31.14,33,FALL,15:55:13
366,330.61,120,FALL,15:55:24
367,116.43,137,FALL,15:55:36
368,37.93,33,FALL,15:55:42
369,6.43,30,FALL,15:55:47
370,74.32,72,FALL,15:55:56
371,85.33,61,FALL,15:56:03
372,99.62,64,FALL,15:56:11
373,-5.75,35,FALL,15:56:17
374,108.76,61,FALL,15:56:25
375,29.79,35,FALL,15:56:31
376,301.26,168,FALL,15:56:44
377,7.39,21,FALL,15:56:50
378,27.68,31,FALL,15:56:56
379,268.95,121,FALL,15:57:07
380,359.74,150,FALL,15:57:20
381,103.38,140,FALL,15:57:32
382,512.06,186,FALL,15:57:46
383,30.64,49,FALL,15:57:53
384,175.08,92,FALL,15:58:02
385,77.32,76,FALL,15:58:10
386,-12.51,18,FALL,15:58:15
387,82.74,63,FALL,15:58:23
388,34.76,30,FALL,15:58:28
389,92.35,93,FALL,15:58:38
390,84.20,65,FALL,15:58:46
391,40.37,36,FALL,15:58:52
392,490.36,216,FALL,15:59:08
393,18.14,28,FALL,15:59:14
394,5.89,32,FALL,15:59:20
395,267.07,160,FALL,15:59:33
396,9.39,75,FALL,15:59:42
397,118.29,60,FALL,15:59:49
398,129.53,63,FALL,15:59:57
399,31.96,29,FALL,16:00:03
400,4.61,32,FALL,16:00:09
401,31.74,37,FALL,16:00:15
402,34.39,30,FALL,16:00:21
403,180.06,110,FALL,16:00:31
404,431.17,158,FALL,16:00:44
405,32.33,33,FALL,16:00:50
406,198.29,84,FALL,16:00:59
407,42.34,35,FALL,16:01:05
408,4.58,47,FALL,16:01:12
409,181.22,104,FALL,16:01:21
410,53.00,33,FALL,16:01:27
411,102.35,62,FALL,16:01:35
412,93.16,65,FALL,16:01:43
413,53.58,59,FALL,16:01:50
414,86.15,48,FALL,16:01:57
415,12.40,95,FALL,16:02:06
416,19.01,66,FALL,16:02:14
417,232.79,97,FALL,16:02:23
418,288.81,197,FALL,16:02:38
419,17.24,32,FALL,16:02:44
420,171.21,88,FALL,16:02:53
421,19.71,107,FALL,16:03:03
422,-39.19,46,FALL,16:03:10
423,180.24,112,FALL,16:03:21
424,86.18,61,FALL,16:03:28
425,90.80,59,FALL,16:03:35
426,78.56,62,FALL,16:03:43
427,163.88,166,FALL,16:03:56
428,36.26,37,FALL,16:04:02
429,311.21,157,FALL,16:04:15
430,0.06,17,FALL,16:04:20
431,130.06,89,FALL,16:04:30
