Episode,Reward,Steps,Reason
0,-0.01,5,FALL
1,1.69,6,FALL
2,-0.02,5,FALL
3,-0.20,5,FALL
4,2.10,6,FALL
5,1.82,6,FALL
6,1.76,6,FALL
7,2.38,6,FALL
8,1.73,6,FALL
9,-0.17,5,FALL
10,-0.05,5,FALL
11,1.81,6,FALL
12,1.49,6,FALL
0,-0.41,5,FALL
1,2.30,6,FALL
2,-0.51,5,FALL
3,-0.59,5,FALL
4,0.27,5,FALL
5,-0.45,5,FALL
6,-0.50,5,FALL
7,1.77,6,FALL
8,0.26,5,FALL
9,1.57,6,FALL
10,-0.60,5,FALL
11,-0.86,5,FALL
12,0.08,5,FALL
13,1.23,6,FALL
14,-0.44,5,FALL
15,1.68,6,FALL
16,-0.79,5,FALL
17,-1.01,5,FALL
18,0.09,5,FALL
19,0.18,5,FALL
20,1.51,6,FALL
21,1.21,6,FALL
22,-0.10,5,FALL
23,-0.60,5,FALL
24,-0.28,5,FALL
25,-1.06,5,FALL
26,1.43,6,FALL
27,-0.39,5,FALL
28,-0.34,5,FALL
0,-2.70,4,FALL
1,-2.92,4,FALL
2,1.70,6,FALL
3,-0.38,5,FALL
4,-0.09,5,FALL
5,-0.48,5,FALL
6,-0.07,5,FALL
0,-0.51,5,FALL
1,1.87,6,FALL
2,1.64,6,FALL
3,-2.80,4,FALL
4,-0.16,5,FALL
5,1.87,6,FALL
6,-0.24,5,FALL
7,-0.65,5,FALL
8,-0.02,5,FALL
9,-0.54,5,FALL
10,-0.40,5,FALL
11,-0.98,5,FALL
12,-0.68,5,FALL
13,-0.24,5,FALL
14,-0.33,5,FALL
15,-0.64,5,FALL
16,-2.80,4,FALL
17,-1.10,5,FALL
18,-0.55,5,FALL
19,-2.79,4,FALL
20,-3.05,4,FALL
21,-0.94,5,FALL
22,-0.35,5,FALL
23,2.65,6,FALL
24,-0.02,5,FALL
25,-0.99,5,FALL
26,-0.68,5,FALL
0,-5.86,3,FALL
1,-4.26,4,FALL
2,-5.90,3,FALL
3,-4.13,4,FALL
4,-5.82,3,FALL
5,-4.20,4,FALL
6,-4.26,4,FALL
7,-4.05,4,FALL
8,-3.91,4,FALL
9,-4.27,4,FALL
10,-4.03,4,FALL
11,-4.02,4,FALL
12,-4.24,4,FALL
13,-4.02,4,FALL
14,-2.31,5,FALL
15,-4.15,4,FALL
16,-4.06,4,FALL
17,-4.29,4,FALL
18,-4.09,4,FALL
19,-5.86,3,FALL
20,-4.31,4,FALL
21,-4.06,4,FALL
22,-5.91,3,FALL
23,-4.26,4,FALL
24,-4.22,4,FALL
25,-4.00,4,FALL
26,-4.07,4,FALL
27,-5.82,3,FALL
28,-5.70,3,FALL
29,-4.07,4,FALL
30,-4.33,4,FALL
31,-4.08,4,FALL
32,-5.79,3,FALL
33,-4.20,4,FALL
34,-3.99,4,FALL
0,-3.68,5,FALL
1,-3.65,5,FALL
2,-5.48,4,FALL
3,-3.76,5,FALL
4,-5.31,4,FALL
5,-3.52,5,FALL
6,-3.91,5,FALL
7,-3.55,5,FALL
8,-3.85,5,FALL
9,-3.92,5,FALL
10,-3.70,5,FALL
11,-5.34,4,FALL
12,-5.41,4,FALL
13,-3.48,5,FALL
14,-3.82,5,FALL
15,-3.78,5,FALL
16,-5.24,4,FALL
17,-3.58,5,FALL
18,-5.43,4,FALL
0,0.16,6,FALL
1,2.13,7,FALL
2,2.44,7,FALL
3,1.82,7,FALL
4,2.32,7,FALL
5,2.26,7,FALL
6,0.24,6,FALL
7,-0.20,6,FALL
8,2.37,7,FALL
9,0.30,6,FALL
10,-0.28,6,FALL
11,2.32,7,FALL
0,14.65,10,FALL
1,13.81,10,FALL
2,14.63,10,FALL
3,-1.02,5,FALL
4,10.62,9,FALL
5,38.36,19,FALL
6,15.32,10,FALL
7,15.57,10,FALL
8,17.37,12,FALL
9,17.21,11,FALL
10,94.36,36,FALL
11,128.90,51,FALL
12,20.61,12,FALL
13,34.30,18,FALL
14,23.10,14,FALL
15,55.42,26,FALL
16,77.84,32,FALL
17,13.90,10,FALL
18,8.09,8,FALL
19,61.68,29,FALL
20,11.97,10,FALL
21,15.58,10,FALL
22,17.00,11,FALL
23,98.47,39,FALL
24,142.11,54,FALL
25,29.05,16,FALL
26,12.31,9,FALL
27,68.10,28,FALL
28,51.10,24,FALL
29,10.79,9,FALL
30,93.10,37,FALL
31,144.50,57,FALL
32,41.10,20,FALL
33,47.54,22,FALL
34,22.18,13,FALL
35,25.79,15,FALL
36,136.79,49,FALL
37,14.53,10,FALL
38,105.51,40,FALL
39,12.81,10,FALL
40,16.18,10,FALL
41,32.39,17,FALL
42,10.63,9,FALL
43,15.37,11,FALL
44,103.69,39,FALL
45,16.71,11,FALL
46,48.53,22,FALL
47,101.05,37,FALL
48,14.57,11,FALL
49,14.11,11,FALL
50,17.03,11,FALL
51,20.60,12,FALL
52,36.98,19,FALL
53,26.94,16,FALL
54,297.47,101,FALL
55,13.63,10,FALL
56,12.01,10,FALL
57,12.07,10,FALL
58,8.75,8,FALL
59,19.23,11,FALL
60,115.81,41,FALL
61,24.31,15,FALL
62,13.71,10,FALL
63,12.61,10,FALL
64,108.00,42,FALL
65,41.17,20,FALL
66,53.36,23,FALL
67,17.92,12,FALL
68,12.45,10,FALL
69,32.23,16,FALL
70,10.67,9,FALL
71,13.06,10,FALL
72,82.13,36,FALL
73,18.58,12,FALL
74,39.09,22,FALL
75,23.67,13,FALL
76,76.75,32,FALL
77,115.18,41,FALL
78,17.95,12,FALL
79,92.02,38,FALL
80,18.56,12,FALL
81,50.43,23,FALL
82,107.52,44,FALL
0,14.41,11,FALL
1,40.74,19,FALL
