x,y,z,hn,ht,dg,mct,mcn
-0.15,-0.06,0.1,-0.54042,-0.987175,0.323883,-1.35939,0.54042
-0.15,-0.05,0.1,-0.463648,-0.939458,0.442699,-1.43049,0.463648
-0.15,-0.05,0.11,-0.426627,-1.07846,0.142196,-1.26899,0.426627
-0.15,-0.04,0.1,-0.380506,-0.915477,0.518154,-1.48196,0.380506
-0.15,-0.04,0.11,-0.348771,-0.993127,0.310653,-1.35211,0.348771
-0.15,-0.03,0.1,-0.291457,-0.902931,0.568627,-1.51989,0.291457
-0.15,-0.03,0.11,-0.266252,-0.95787,0.393553,-1.39975,0.266252
-0.15,-0.02,0.1,-0.197396,-0.896647,0.601296,-1.54627,0.197396
-0.15,-0.02,0.11,-0.179853,-0.939458,0.442699,-1.43049,0.179853
-0.15,-0.02,0.12,-0.165149,-1.12856,0.0557227,-1.23262,0.165149
-0.15,-0.01,0.1,-0.0996687,-0.893847,0.619726,-1.5619,0.0996687
-0.15,-0.01,0.11,-0.0906599,-0.930321,0.469439,-1.44809,0.0906599
-0.15,-0.01,0.12,-0.0831412,-1.06345,0.169577,-1.28136,0.0831412
-0.15,-1.04083e-17,0.1,-1.04083e-16,-0.893069,0.625687,-1.56709,1.04083e-16
-0.15,-1.04083e-17,0.11,-9.46213e-17,-0.927547,0.47797,-1.45385,9.46213e-17
-0.15,-1.04083e-17,0.12,-8.67362e-17,-1.05091,0.193077,-1.29232,8.67362e-17
-0.15,0.01,0.1,0.0996687,-0.893847,0.619726,-1.5619,-0.0996687
-0.15,0.01,0.11,0.0906599,-0.930321,0.469439,-1.44809,-0.0906599
-0.15,0.01,0.12,0.0831412,-1.06345,0.169577,-1.28136,-0.0831412
-0.15,0.02,0.1,0.197396,-0.896647,0.601296,-1.54627,-0.197396
-0.15,0.02,0.11,0.179853,-0.939458,0.442699,-1.43049,-0.179853
-0.15,0.02,0.12,0.165149,-1.12856,0.0557227,-1.23262,-0.165149
-0.15,0.03,0.1,0.291457,-0.902931,0.568627,-1.51989,-0.291457
-0.15,0.03,0.11,0.266252,-0.95787,0.393553,-1.39975,-0.266252
-0.15,0.04,0.1,0.380506,-0.915477,0.518154,-1.48196,-0.380506
-0.15,0.04,0.11,0.348771,-0.993127,0.310653,-1.35211,-0.348771
-0.15,0.05,0.1,0.463648,-0.939458,0.442699,-1.43049,-0.463648
-0.15,0.05,0.11,0.426627,-1.07846,0.142196,-1.26899,-0.426627
-0.15,0.06,0.1,0.54042,-0.987175,0.323883,-1.35939,-0.54042
-0.14,-0.09,0.1,-0.732815,-0.797295,0.421834,-1.26746,0.732815
-0.14,-0.08,0.1,-0.674741,-0.730063,0.58301,-1.36141,0.674741
-0.14,-0.08,0.11,-0.628796,-0.819967,0.373672,-1.24197,0.628796
-0.14,-0.07,0.1,-0.610726,-0.693311,0.693494,-1.43514,0.610726
-0.14,-0.07,0.11,-0.566729,-0.749811,0.531918,-1.33006,0.566729
-0.14,-0.07,0.12,-0.528074,-0.88253,0.250719,-1.18158,0.528074
-0.14,-0.06,0.1,-0.54042,-0.672599,0.775192,-1.49612,0.54042
-0.14,-0.06,0.11,-0.499347,-0.710943,0.637177,-1.39645,0.499347
