Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.96073883700386E-08,0.000462672288009204,-0.013211586070026,0,0,0,0.0505669356625173,1.58512882562337E-05,-6.32129709010695E-12,3.06079220712807E-11,3.95314057556552E-05,-3.07371418289218E-06,3.98877370276516E-05,0,0,0,0,0,0,package://Robot/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Robot/meshes/base_link.STL,,Hip-1/vb_1-1;Hip-1/mh1-1;Hip-1/mh2-1;Hip-1/ktS-3;Hip-1/ktS-4,base_cor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_hip_left_link,0.0105399293507954,-0.0102302850973809,0.0211771872929315,0,0,0,0.107894198733174,1.74833584295454E-05,-5.4261823336912E-11,-3.52218118707271E-22,2.77733120234834E-05,-1.55692625071626E-10,1.74824329090152E-05,0,0,0,0,0,0,package://Robot/meshes/base_hip_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/base_hip_left_link.STL,,Left_Leg-1/Servo_MG996-4/MG996R Shaft-1;Left_Leg-1/Servo_MG996-4/MG996R-1;Left_Leg-1/Servo_MG996-5/MG996R-1,hor_hip_left_cor,hor_hip_left_axis,base_hip_left_joint,revolute,-0.0350000000000001,-0.0204999999999994,-0.0270000000000001,1.57079632679489,0,-3.14159265358979,base_link,0,0,1,1.08,6.16,-0.17453,0.69813,,,,,,,,
hip_hip_left_link,-0.000477097737932343,-0.0311573778418832,-0.0159499008021752,0,0,0,0.0244428963393535,1.32742548435843E-05,3.64347850214951E-07,4.21416962626886E-14,5.27954521577882E-06,-2.60972777380945E-10,1.13630280868237E-05,0,0,0,0,0,0,package://Robot/meshes/hip_hip_left_link.STL,1,1,1,1,0,0,0,0,0,0,package://Robot/meshes/hip_hip_left_link.STL,,Left_Leg-1/ktc_1-1;Left_Leg-1/ktc_3-1;Left_Leg-1/ktS-1;Left_Leg-1/ktS-4;Left_Leg-1/Servo_MG996-5/MG996R Shaft-1,ver_hip_left_cor,ver_hip_left_axis,hip_hip_left_joint,revolute,0.0295,-0.0205000000000001,0.0105,0,1.5707963267949,0,base_hip_left_link,0,0,-1,1.08,6.16,-0.8,0.69813,,,,,,,,
hip_knee_left_link,1.22124532708767E-15,-0.0521312435280574,-0.0183200192860185,0,0,0,0.130204487078614,4.59198297178949E-05,-2.09954448457571E-10,-4.14207862176231E-20,2.02899102584213E-05,-3.81950404021968E-21,3.2855864207069E-05,0,0,0,0,0,0,package://Robot/meshes/hip_knee_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/hip_knee_left_link.STL,,Left_Leg-1/Servo_MG996-2/MG996R Shaft-1;Left_Leg-1/Servo_MG996-2/MG996R-1;Left_Leg-1/od-2;Left_Leg-1/od-1;Left_Leg-1/Servo_MG996-3/MG996R-1,knee_left_cor,knee_left_axis,hip_knee_left_joint,revolute,0,-0.0599999999999997,0,0,0,0,hip_hip_left_link,0,0,-1,1.08,6.16,-1.3963,1.3963,,,,,,,,
knee_ankle_left_link,3.93736869536421E-05,-0.027515550876819,-0.0176910938148466,0,0,0,0.0298519989099933,9.56697138711308E-06,1.6471871683677E-06,4.48957279114108E-07,1.00406929638069E-05,-1.44787293328076E-06,9.63973144953533E-06,0,0,0,0,0,0,package://Robot/meshes/knee_ankle_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/knee_ankle_left_link.STL,,Left_Leg-1/Servo_MG996-3/MG996R Shaft-1;Left_Leg-1/mcc_2-1;Left_Leg-1/mcc_3-1;Left_Leg-1/mcc_1-1;Left_Leg-1/ktS-3;Left_Leg-1/ktS-2,ver_ankle_left_cor,ver_ankle_left_axis,knee_ankle_left_joint,revolute,0,-0.1034,0,0,0,0,hip_knee_left_link,0,0,-1,1.08,6.16,-0.8,0.8,,,,,,,,
ankle_ankle_left_link,-0.00809509712887917,-0.00727461919221756,-0.0218892657222814,0,0,0,0.0850053645760622,2.80542144992169E-05,5.98719522678762E-07,-9.6741363136071E-09,4.73017474166376E-05,5.07154009091567E-11,2.35375503104991E-05,0,0,0,0,0,0,package://Robot/meshes/ankle_ankle_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/ankle_ankle_left_link.STL,,Left_Leg-1/Servo_MG996-1/MG996R Shaft-1;Left_Leg-1/Servo_MG996-1/MG996R-1;Left_Leg-1/bc-1,hor_ankle_left_cor,hor_ankle_left_axis,ankle_ankle_left_joint,revolute,0.0215,-0.057,-0.018,0,1.5708,0,knee_ankle_left_link,0,0,-1,1.08,6.16,-1.2217,1.2217,,,,,,,,
base_hip_right_link,0.00949195871791609,-0.0102300939254159,-0.0222251579258068,0,0,0,0.107894198733174,1.74833584295454E-05,5.42618233677653E-11,-5.97555274508307E-21,2.77733120234834E-05,-1.55692625067553E-10,1.74824329090152E-05,0,0,0,0,0,0,package://Robot/meshes/base_hip_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/base_hip_right_link.STL,,Right_Leg-1/Servo_MG996-5/MG996R Shaft-1;Right_Leg-1/Servo_MG996-5/MG996R-1;Right_Leg-1/Servo_MG996-4/MG996R-1,hor_hip_right_cor,hor_hip_right_axis,base_hip_right_joint,revolute,0.0350000000000045,-0.0204999999999993,-0.027,1.5707963267949,0,0,base_link,0,0,-1,1.08,6.16,-0.69813,0.17453,,,,,,,,
hip_hip_right_link,0.000477097737926931,-0.0311605813995221,-0.0194499008139903,0,0,0,0.0244428963393535,1.32742548435843E-05,-3.64347510988161E-07,-4.02324809866883E-14,5.27954521577882E-06,2.60972777380989E-10,1.13630280868237E-05,0,0,0,0,0,0,package://Robot/meshes/hip_hip_right_link.STL,1,1,1,1,0,0,0,0,0,0,package://Robot/meshes/hip_hip_right_link.STL,,Right_Leg-1/ktc_1-1;Right_Leg-1/ktc_3-1;Right_Leg-1/ktS-4;Right_Leg-1/ktS-3;Right_Leg-1/Servo_MG996-4/MG996R Shaft-1,ver_hip_right_cor,ver_hip_right_axis,hip_hip_right_joint,revolute,0.0309000000000001,-0.0204999999999999,-0.0126,0,1.5707963267949,0,base_hip_right_link,0,0,-1,1.08,6.16,-0.69813,0.8,,,,,,,,
hip_knee_right_link,-5.05151476204446E-15,-0.0521312435280555,-0.021820019286026,0,0,0,0.130204487078614,4.59198297178948E-05,-2.09954448445341E-10,-4.24389374191222E-20,2.02899102584212E-05,-5.55957316879099E-21,3.28558642070689E-05,0,0,0,0,0,0,package://Robot/meshes/hip_knee_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/hip_knee_right_link.STL,,Right_Leg-1/Servo_MG996-3/MG996R Shaft-1;Right_Leg-1/Servo_MG996-3/MG996R-1;Right_Leg-1/od-1;Right_Leg-1/od-2;Right_Leg-1/Servo_MG996-2/MG996R-1,knee_right_cor,knee_right_axis,hip_knee_right_joint,revolute,0,-0.0600000000000001,0,0,0,0,hip_hip_right_link,0,0,-1,1.08,6.16,-1.3963,1.3963,,,,,,,,
knee_ankle_right_link,3.93736869474942E-05,-0.0275155508768176,-0.0211910938148541,0,0,0,0.0298519989099934,9.5669713871131E-06,1.6471871683677E-06,4.4895727911411E-07,1.00406929638069E-05,-1.44787293328077E-06,9.63973144953535E-06,0,0,0,0,0,0,package://Robot/meshes/knee_ankle_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/knee_ankle_right_link.STL,,Right_Leg-1/Servo_MG996-2/MG996R Shaft-1;Right_Leg-1/mcc_2-1;Right_Leg-1/mcc_3-1;Right_Leg-1/ktS-1;Right_Leg-1/ktS-2;Right_Leg-1/mcc_1-1,ver_ankle_right_cor,ver_ankle_right_axis,knee_ankle_right_joint,revolute,0,-0.1034,0,0,0,0,hip_knee_right_link,0,0,-1,1.08,6.16,-0.8,0.8,,,,,,,,
