Episode,Reward,Steps,Reason,Time
1,-69.46,6,FALL,11:57:16
2,-41.70,8,FALL,11:57:19
3,-36.31,9,FALL,11:57:23
4,-43.98,8,FALL,11:57:26
5,-9.09,14,FALL,11:57:30
6,87.60,31,FALL,11:57:35
7,-52.67,7,FALL,11:57:38
8,-50.61,7,FALL,11:57:41
9,-34.15,11,FALL,11:57:45
10,203.02,42,FALL,11:57:50
11,-54.05,6,FALL,11:57:53
12,-45.24,8,FALL,11:57:56
13,20.83,20,FALL,11:58:00
14,-48.90,10,FALL,11:58:04
15,-38.82,11,FALL,11:58:07
16,30.99,19,FALL,11:58:11
17,93.88,28,FALL,11:58:16
18,-63.00,7,FALL,11:58:19
19,67.31,31,FALL,11:58:24
20,-20.32,13,FALL,11:58:27
21,-36.20,10,FALL,11:58:30
22,-19.15,11,FALL,11:58:43
23,-25.02,13,FALL,11:58:47
24,52.01,22,FALL,11:58:51
25,-43.09,9,FALL,11:58:54
26,-44.59,8,FALL,11:59:00
27,83.14,27,FALL,11:59:05
28,-63.49,6,FALL,11:59:08
29,27.71,19,FALL,11:59:15
30,-9.80,14,FALL,11:59:19
31,-43.24,8,FALL,11:59:22
32,-7.36,15,FALL,11:59:26
33,-41.20,9,FALL,11:59:29
34,-10.42,14,FALL,11:59:33
35,-44.66,8,FALL,11:59:36
36,59.03,24,FALL,11:59:40
37,132.55,40,FALL,11:59:45
38,133.01,33,FALL,11:59:53
39,-14.45,12,FALL,11:59:57
40,-54.46,6,FALL,12:00:03
41,77.66,29,FALL,12:00:08
42,-48.07,7,FALL,12:00:14
43,-42.14,10,FALL,12:00:18
44,-14.29,14,FALL,12:00:21
45,-38.38,11,FALL,12:00:28
46,-52.36,7,FALL,12:00:31
47,56.34,22,FALL,12:00:35
48,-32.83,11,FALL,12:00:42
49,0.43,16,FALL,12:00:49
50,272.80,52,FALL,12:00:55
51,-50.83,7,FALL,12:00:58
52,-32.54,10,FALL,12:01:01
53,-12.90,14,FALL,12:01:08
54,-68.83,5,FALL,12:01:11
55,246.65,57,FALL,12:01:18
56,-46.59,8,FALL,12:01:21
57,-50.09,7,FALL,12:01:24
58,2.81,20,FALL,12:01:28
59,-31.61,12,FALL,12:01:35
60,93.86,29,FALL,12:01:39
61,23.61,19,FALL,12:01:43
62,14.51,20,FALL,12:01:51
63,-10.88,16,FALL,12:01:54
64,-42.79,9,FALL,12:01:58
65,103.21,32,FALL,12:02:03
66,-47.97,8,FALL,12:02:06
67,-33.42,11,FALL,12:02:09
68,-14.30,14,FALL,12:02:13
69,-48.64,7,FALL,12:02:20
70,224.66,48,FALL,12:02:28
71,-52.86,7,FALL,12:02:31
72,-49.84,8,FALL,12:02:35
73,9.95,15,FALL,12:02:38
74,98.64,31,FALL,12:02:43
75,-44.04,8,FALL,12:02:47
76,-12.14,14,FALL,12:02:50
77,1.59,16,FALL,12:02:57
78,-36.26,10,FALL,12:03:00
79,-55.89,7,FALL,12:03:04
80,51.61,23,FALL,12:03:11
81,-27.87,11,FALL,12:03:15
82,-48.88,7,FALL,12:03:18
83,-54.65,7,FALL,12:03:21
84,155.47,36,FALL,12:03:26
85,-0.15,16,FALL,12:03:30
86,-50.32,8,FALL,12:03:33
87,36.59,22,FALL,12:03:40
88,-50.47,8,FALL,12:03:44
89,-25.60,14,FALL,12:03:47
90,-16.08,13,FALL,12:03:51
91,-40.83,9,FALL,12:03:54
92,-56.03,7,FALL,12:03:57
93,-48.40,7,FALL,12:04:01
94,-2.76,19,FALL,12:04:05
95,249.71,47,FALL,12:04:10
96,-42.55,9,FALL,12:04:17
97,86.88,26,FALL,12:04:21
98,35.14,19,FALL,12:04:25
99,59.91,25,FALL,12:04:29
100,-52.04,8,FALL,12:04:33
101,-21.49,13,FALL,12:04:36
102,-48.75,7,FALL,12:04:40
103,-49.65,8,FALL,12:04:43
104,145.59,40,FALL,12:04:48
105,-42.14,11,FALL,12:04:52
106,-78.54,4,FALL,12:04:55
107,-40.70,9,FALL,12:05:01
108,-49.66,8,FALL,12:05:05
109,-53.48,6,FALL,12:05:08
110,17.19,18,FALL,12:05:15
111,-50.75,8,FALL,12:05:18
112,-26.70,12,FALL,12:05:22
113,-47.47,7,FALL,12:05:25
114,-51.40,7,FALL,12:05:28
115,230.89,49,FALL,12:05:34
116,-26.01,11,FALL,12:05:37
117,-45.89,8,FALL,12:05:40
118,-38.55,9,FALL,12:05:44
119,-11.19,14,FALL,12:05:48
120,-48.26,8,FALL,12:05:51
121,-57.39,8,FALL,12:05:54
122,82.30,34,FALL,12:05:59
123,16.37,17,FALL,12:06:06
124,-33.17,12,FALL,12:06:09
125,-46.17,8,FALL,12:06:13
126,-24.08,12,FALL,12:06:16
127,-43.34,9,FALL,12:06:19
128,297.70,47,FALL,12:06:25
129,-34.88,10,FALL,12:06:28
130,151.98,37,FALL,12:06:33
131,31.57,22,FALL,12:06:37
132,-25.72,13,FALL,12:06:41
133,63.37,23,FALL,12:06:45
134,-8.59,16,FALL,12:06:49
135,33.13,22,FALL,12:06:53
136,-16.61,12,FALL,12:06:59
137,106.80,31,FALL,12:07:04
138,42.09,20,FALL,12:07:11
139,46.35,22,FALL,12:07:18
140,-26.15,11,FALL,12:07:22
141,-40.87,10,FALL,12:07:29
142,22.58,20,FALL,12:07:36
143,-47.61,7,FALL,12:07:39
144,111.52,28,FALL,12:07:44
145,-49.16,8,FALL,12:07:47
146,116.72,31,FALL,12:07:55
147,-52.23,7,FALL,12:07:58
148,-51.04,7,FALL,12:08:01
149,80.73,26,FALL,12:08:09
150,-16.00,14,FALL,12:08:16
151,131.56,30,FALL,12:08:20
152,53.16,23,FALL,12:08:24
153,20.84,18,FALL,12:08:28
154,-52.63,7,FALL,12:08:31
155,16.74,19,FALL,12:08:35
156,99.38,27,FALL,12:08:40
157,-49.37,7,FALL,12:08:43
158,-4.99,14,FALL,12:08:50
159,-54.44,7,FALL,12:08:57
160,-38.56,9,FALL,12:09:00
161,-44.80,7,FALL,12:09:06
162,75.94,27,FALL,12:09:14
163,-35.98,11,FALL,12:09:20
164,-22.86,12,FALL,12:09:27
165,54.32,25,FALL,12:09:31
166,79.44,27,FALL,12:09:35
167,-22.89,12,FALL,12:09:39
168,187.71,38,FALL,12:09:50
169,104.65,28,FALL,12:09:57
170,-21.21,13,FALL,12:10:01
171,-20.66,11,FALL,12:10:04
172,-45.22,7,FALL,12:10:08
173,125.24,32,FALL,12:10:13
174,74.79,27,FALL,12:10:17
175,268.65,50,FALL,12:10:22
176,-43.70,9,FALL,12:10:26
177,123.36,40,FALL,12:10:31
178,-33.57,11,FALL,12:10:34
179,140.05,33,FALL,12:10:42
180,101.03,32,FALL,12:10:47
181,-23.09,13,FALL,12:10:51
182,226.02,47,FALL,12:10:57
183,114.81,33,FALL,12:11:01
184,-37.29,10,FALL,12:11:05
185,-49.29,7,FALL,12:11:08
186,205.28,51,FALL,12:11:17
187,-47.18,8,FALL,12:11:23
188,24.38,17,FALL,12:11:27
189,-44.77,9,FALL,12:11:30
190,-56.00,7,FALL,12:11:34
191,88.84,26,FALL,12:11:41
192,325.37,69,FALL,12:11:48
193,307.97,74,FALL,12:11:54
194,53.56,28,FALL,12:11:59
195,37.83,23,FALL,12:12:03
196,68.00,23,FALL,12:12:11
197,86.72,30,FALL,12:12:16
198,-5.33,14,FALL,12:12:23
199,-6.20,14,FALL,12:12:26
200,-48.72,7,FALL,12:12:33
201,-50.40,6,FALL,12:12:39
202,-16.71,13,FALL,12:12:43
203,-47.27,7,FALL,12:12:46
204,-42.12,10,FALL,12:12:50
205,43.62,20,FALL,12:12:54
206,11.65,18,FALL,12:12:58
207,314.00,66,FALL,12:13:05
208,-54.39,8,FALL,12:13:08
209,12.85,20,FALL,12:13:12
210,47.11,22,FALL,12:13:16
211,95.34,26,FALL,12:13:21
212,-59.07,6,FALL,12:13:24
213,-77.55,8,FALL,12:13:31
214,-67.48,6,FALL,12:13:35
215,100.73,27,FALL,12:13:39
216,-48.37,7,FALL,12:13:46
217,55.00,22,FALL,12:13:53
218,161.05,35,FALL,12:13:58
219,16.51,17,FALL,12:14:02
220,-41.84,10,FALL,12:14:08
221,-12.98,14,FALL,12:14:12
222,-30.29,14,FALL,12:14:16
223,356.73,62,FALL,12:14:22
224,-23.32,14,FALL,12:14:26
225,-35.60,10,FALL,12:14:29
226,-57.98,7,FALL,12:14:32
227,-51.64,7,FALL,12:14:36
228,-43.24,9,FALL,12:14:39
229,245.54,57,FALL,12:14:45
230,-17.85,10,FALL,12:14:49
231,-50.40,10,FALL,12:14:52
232,32.29,20,FALL,12:15:00
233,29.51,19,FALL,12:15:07
234,212.42,48,FALL,12:15:12
235,53.76,23,FALL,12:15:17
236,71.64,28,FALL,12:15:21
237,23.62,20,FALL,12:15:25
238,-60.99,7,FALL,12:15:28
239,-53.39,7,FALL,12:15:32
240,228.10,47,FALL,12:15:37
241,33.28,20,FALL,12:15:41
242,82.00,26,FALL,12:15:46
243,-45.68,9,FALL,12:15:49
244,377.57,67,FALL,12:15:56
245,-59.10,5,FALL,12:15:59
246,230.30,47,FALL,12:16:05
247,71.20,25,FALL,12:16:09
248,-49.87,7,FALL,12:16:12
249,-40.22,10,FALL,12:16:15
250,-36.47,9,FALL,12:16:19
251,-14.36,13,FALL,12:16:22
252,-27.57,10,FALL,12:16:29
253,-51.09,6,FALL,12:16:32
254,-22.49,11,FALL,12:16:36
255,-70.34,5,FALL,12:16:39
256,-42.74,8,FALL,12:16:42
257,-12.15,14,FALL,12:16:46
258,-32.27,10,FALL,12:16:49
259,15.28,17,FALL,12:16:53
260,92.91,26,FALL,12:16:57
261,162.90,40,FALL,12:17:03
262,-54.15,6,FALL,12:17:06
263,24.13,19,FALL,12:17:10
264,187.83,41,FALL,12:17:15
265,-43.42,8,FALL,12:17:18
266,62.29,24,FALL,12:17:22
267,-36.39,11,FALL,12:17:26
268,20.37,17,FALL,12:17:30
269,2.58,18,FALL,12:17:37
270,29.34,17,FALL,12:17:40
271,-56.45,6,FALL,12:17:44
272,-29.98,11,FALL,12:17:47
273,19.57,17,FALL,12:17:54
274,108.81,30,FALL,12:17:59
275,-37.70,10,FALL,12:18:08
276,257.63,51,FALL,12:18:14
277,113.47,29,FALL,12:18:18
278,49.67,20,FALL,12:18:22
279,43.52,21,FALL,12:18:27
280,-52.08,6,FALL,12:18:30
281,-52.48,6,FALL,12:18:33
282,-34.69,12,FALL,12:18:37
283,-39.82,10,FALL,12:18:40
284,34.39,20,FALL,12:18:47
285,58.76,26,FALL,12:18:58
286,48.54,23,FALL,12:19:02
287,-3.05,14,FALL,12:19:05
288,-52.00,7,FALL,12:19:09
289,90.83,27,FALL,12:19:13
290,27.19,19,FALL,12:19:20
291,48.26,21,FALL,12:19:24
292,-53.55,6,FALL,12:19:27
293,-61.84,7,FALL,12:19:30
294,-32.62,12,FALL,12:19:34
295,-17.69,13,FALL,12:19:38
296,58.24,29,FALL,12:19:45
297,153.84,37,FALL,12:19:53
298,261.82,56,FALL,12:19:59
299,126.64,32,FALL,12:20:04
300,-55.90,6,FALL,12:20:07
301,-20.38,14,FALL,12:20:11
302,2.25,16,FALL,12:20:18
303,-14.89,15,FALL,12:20:21
