Episode,Reward,Steps,Reason,Time
0,-100.00,1,SKIP_RESET,23:35:27
1,-100.00,1,SKIP_RESET,23:35:32
2,-100.00,1,SKIP_RESET,23:35:37
3,-100.00,1,SKIP_RESET,23:35:41
4,-100.00,1,SKIP_RESET,23:35:46
5,-100.00,1,SKIP_RESET,23:35:50
6,-100.00,1,SKIP_RESET,23:35:55
7,-100.00,1,SKIP_RESET,23:35:59
8,-100.00,1,SKIP_RESET,23:36:04
9,-100.00,1,SKIP_RESET,23:36:09
10,-100.00,1,SKIP_RESET,23:36:13
11,-100.00,1,SKIP_RESET,23:36:18
12,-100.00,1,SKIP_RESET,23:36:22
13,-100.00,1,SKIP_RESET,23:36:27
14,-100.00,1,SKIP_RESET,23:36:32
15,-100.00,1,SKIP_RESET,23:36:36
16,-100.00,1,SKIP_RESET,23:36:41
17,-100.00,1,SKIP_RESET,23:36:45
18,-100.00,1,SKIP_RESET,23:36:50
19,-100.00,1,SKIP_RESET,23:36:54
20,-100.00,1,SKIP_RESET,23:36:59
21,-100.00,1,SKIP_RESET,23:37:04
22,-102.01,20,FALL,23:37:09
23,-100.00,1,SKIP_RESET,23:37:14
24,-100.00,1,SKIP_RESET,23:37:18
25,-100.00,1,SKIP_RESET,23:37:23
26,-100.00,1,SKIP_RESET,23:37:28
