Episode,Reward,Steps,Reason,Time
0,50.08,24,FALL,21:54:09
1,291.94,96,FALL,21:54:18
2,548.05,177,FALL,21:54:31
3,59.85,28,FALL,21:54:37
4,33.85,18,FALL,21:54:42
5,45.46,21,FALL,21:54:47
6,75.98,30,FALL,21:54:53
7,32.67,16,FALL,21:54:58
8,34.83,17,FALL,21:55:03
9,142.71,51,FALL,21:55:09
10,33.13,17,FALL,21:55:14
11,80.33,31,FALL,21:55:20
12,132.41,50,FALL,21:55:27
13,39.50,19,FALL,21:55:32
14,79.28,31,FALL,21:55:37
15,40.97,20,FALL,21:55:43
16,43.81,21,FALL,21:55:48
17,190.32,63,FALL,21:55:55
18,112.94,41,FALL,21:56:01
19,48.00,23,FALL,21:56:07
20,24.62,14,FALL,21:56:11
21,46.75,21,FALL,21:56:17
22,199.22,72,FALL,21:56:24
23,246.76,79,FALL,21:56:33
24,36.97,19,FALL,21:56:38
25,124.42,47,FALL,21:56:44
26,30.43,16,FALL,21:56:49
27,313.39,104,FALL,21:56:59
28,31.40,16,FALL,21:57:04
29,72.66,32,FALL,21:57:09
30,29.70,15,FALL,21:57:14
31,46.93,23,FALL,21:57:20
32,95.54,35,FALL,21:57:25
33,162.52,58,FALL,21:57:33
34,305.36,98,FALL,21:57:42
35,37.05,19,FALL,21:57:47
36,40.46,20,FALL,21:57:52
37,84.86,32,FALL,21:57:58
38,54.38,25,FALL,21:58:03
39,99.32,36,FALL,21:58:09
40,45.13,21,FALL,21:58:14
41,123.98,48,FALL,21:58:21
42,71.65,28,FALL,21:58:26
43,41.44,19,FALL,21:58:31
44,43.38,21,FALL,21:58:37
45,153.59,52,FALL,21:58:43
46,148.89,48,FALL,21:58:50
47,143.03,52,FALL,21:58:57
48,72.43,31,FALL,21:59:03
49,117.29,50,FALL,21:59:09
50,257.57,81,FALL,21:59:18
51,66.75,31,FALL,21:59:23
52,185.20,63,FALL,21:59:31
53,43.43,21,FALL,21:59:36
54,442.92,142,FALL,21:59:47
55,36.90,20,FALL,21:59:53
56,143.53,52,FALL,21:59:59
57,96.71,37,FALL,22:00:05
58,31.94,16,FALL,22:00:10
59,42.33,21,FALL,22:00:16
60,200.79,63,FALL,22:00:23
61,114.30,43,FALL,22:00:29
62,44.97,21,FALL,22:00:34
63,30.82,17,FALL,22:00:39
64,59.74,28,FALL,22:00:45
65,375.97,122,FALL,22:00:55
66,172.62,60,FALL,22:01:03
67,28.52,15,FALL,22:01:07
68,41.89,20,FALL,22:01:13
69,35.18,18,FALL,22:01:18
70,136.37,47,FALL,22:01:24
71,34.30,17,FALL,22:01:29
72,162.34,57,FALL,22:01:36
73,32.62,17,FALL,22:01:41
74,315.03,98,FALL,22:01:50
75,102.80,39,FALL,22:01:56
76,39.11,19,FALL,22:02:02
77,38.96,18,FALL,22:02:07
78,51.59,25,FALL,22:02:12
79,95.44,36,FALL,22:02:18
80,76.98,34,FALL,22:02:24
81,38.33,18,FALL,22:02:29
82,155.91,54,FALL,22:02:36
83,155.14,53,FALL,22:02:43
84,177.49,64,FALL,22:02:50
85,210.79,69,FALL,22:02:58
86,113.76,43,FALL,22:03:04
87,131.21,45,FALL,22:03:10
88,287.86,94,FALL,22:03:19
89,280.42,90,FALL,22:03:28
90,660.75,202,FALL,22:03:43
91,29.06,15,FALL,22:03:48
92,44.64,21,FALL,22:03:53
93,146.92,53,FALL,22:04:00
94,41.54,21,FALL,22:04:05
95,180.07,62,FALL,22:04:12
96,35.46,18,FALL,22:04:17
97,122.77,50,FALL,22:04:24
98,168.34,59,FALL,22:04:31
99,184.49,60,FALL,22:04:38
100,141.92,48,FALL,22:04:45
101,233.35,80,FALL,22:04:53
102,41.80,20,FALL,22:04:58
103,35.37,17,FALL,22:05:03
104,492.35,149,FALL,22:05:15
105,41.26,20,FALL,22:05:20
106,438.35,141,FALL,22:05:32
107,564.12,169,FALL,22:05:45
108,140.16,47,FALL,22:05:51
