Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.96073883700386E-08,0.000462672288009197,-0.013211586070026,0,0,0,0.0505669356625173,1.58512882562337E-05,-6.32129709296378E-12,3.06079220705595E-11,3.95314057556553E-05,-3.07371418289219E-06,3.98877370276516E-05,0,0,0,0,0,0,package://Robot/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Robot/meshes/base_link.STL,,Hip-1/vb_1-1;Hip-1/mh1-1;Hip-1/mh2-1;Hip-1/ktS-3;Hip-1/ktS-4,base_cor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_hip_left_link,0.0099873312533921,-9.54015962895127E-08,0.0218258506936429,0,0,0,0.0540513645760621,8.31443086285314E-06,-1.04977224197011E-10,-9.67413631360397E-09,1.38876292348193E-05,-5.07154008424275E-11,9.16994849231721E-06,0,0,0,0,0,0,package://Robot/meshes/base_hip_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/base_hip_left_link.STL,,Left_Leg-1/Servo_MG996-4/MG996R Shaft-1;Left_Leg-1/Servo_MG996-4/MG996R-1,hor_hip_left_cor,hor_hip_left_axis,base_hip_left_joint,revolute,-0.0350000000000001,-0.0204999999999994,-0.0270000000000001,1.57079632679489,0,-3.14159265358979,base_link,0,0,1,1.08,6.16,-0.17453,0.69813,,,,,,,,
hip_hip_left_link,-0.00704458564509276,-0.00972823155065355,-0.0176386810408363,0,0,0,0.0782857304964655,2.15867392602823E-05,3.64452827439173E-07,-9.6740941719115E-09,1.91652280044429E-05,-2.10257376525691E-10,2.0531955653516E-05,0,0,0,0,0,0,package://Robot/meshes/hip_hip_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/hip_hip_left_link.STL,,Left_Leg-1/Servo_MG996-5/MG996R Shaft-1;Left_Leg-1/Servo_MG996-5/MG996R-1;Left_Leg-1/ktc_1-1;Left_Leg-1/ktc_3-1;Left_Leg-1/ktS-1;Left_Leg-1/ktS-4,ver_hip_left_cor,ver_hip_left_axis,hip_hip_left_joint,revolute,0.0295,-0.0205000000000001,0.0105,0,1.5707963267949,0,base_hip_left_link,0,0,-1,1.08,6.16,-0.5236,0.69813,,,,,,,,
hip_knee_left_link,6.75284817334976E-08,-0.0230508584855286,-0.0182598647713183,0,0,0,0.0763616529215024,3.20341469292307E-05,-1.04977224230068E-10,-5.07154008711948E-11,1.19774258417233E-05,-9.67413631360509E-09,2.36869366403767E-05,0,0,0,0,0,0,package://Robot/meshes/hip_knee_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/hip_knee_left_link.STL,,Left_Leg-1/Servo_MG996-2/MG996R Shaft-1;Left_Leg-1/Servo_MG996-2/MG996R-1;Left_Leg-1/od-2;Left_Leg-1/od-1,knee_left_cor,knee_left_axis,hip_knee_left_joint,revolute,0,-0.0599999999999997,0,0,0,0,hip_hip_left_link,0,0,-1,1.08,6.16,-1.3963,1.3963,,,,,,,,
knee_ankle_left_link,3.93736869536421E-05,-0.027515550876819,-0.0176910938148466,0,0,0,0.0298519989099933,9.56697138711308E-06,1.6471871683677E-06,4.48957279114109E-07,1.00406929638069E-05,-1.44787293328076E-06,9.63973144953532E-06,0,0,0,0,0,0,package://Robot/meshes/knee_ankle_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/knee_ankle_left_link.STL,,Left_Leg-1/Servo_MG996-3/MG996R Shaft-1;Left_Leg-1/mcc_2-1;Left_Leg-1/mcc_3-1;Left_Leg-1/mcc_1-1;Left_Leg-1/ktS-3;Left_Leg-1/ktS-2,ver_ankle_left_cor,ver_ankle_left_axis,knee_ankle_left_joint,revolute,0,-0.1034,0,0,0,0,hip_knee_left_link,0,0,-1,1.08,6.16,-0.34907,0.69813,,,,,,,,
knee_knee_left_link,-0.00809509712887918,-0.00727461919221756,-0.0218892657222814,0,0,0,0.0850053645760622,2.80542144992169E-05,5.98719522678762E-07,-9.67413631360612E-09,4.73017474166376E-05,5.07154009089661E-11,2.35375503104991E-05,0,0,0,0,0,0,package://Robot/meshes/knee_knee_left_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/knee_knee_left_link.STL,,Left_Leg-1/Servo_MG996-1/MG996R Shaft-1;Left_Leg-1/Servo_MG996-1/MG996R-1;Left_Leg-1/bc-1,hor_ankle_left_cor,hor_ankle_left_axis,knee_knee_left_joint,revolute,0.0215,-0.0570000000000001,-0.0180000000000003,0,1.5707963267949,0,knee_ankle_left_link,0,0,-1,1.08,6.16,-1.2217,1.2217,,,,,,,,
base_hip_right_link,0.00998733125338564,9.54015969140132E-08,-0.0218258506936456,0,0,0,0.054051364576062,8.31443086285314E-06,1.04977224223296E-10,9.67413631360737E-09,1.38876292348193E-05,-5.07154008415824E-11,9.16994849231722E-06,0,0,0,0,0,0,package://Robot/meshes/base_hip_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/base_hip_right_link.STL,,Right_Leg-1/Servo_MG996-5/MG996R Shaft-1;Right_Leg-1/Servo_MG996-5/MG996R-1,hor_hip_right_cor,hor_hip_right_axis,base_hip_right_joint,revolute,0.0350000000000045,-0.0204999999999993,-0.027,1.5707963267949,0,0,base_link,0,0,-1,1.08,6.16,-0.69813,0.17453,,,,,,,,
hip_hip_right_link,0.00704458564509526,-0.00972910004934324,-0.0211386810445299,0,0,0,0.0782857304964655,2.15867392602823E-05,-3.64242533763939E-07,9.67409608113154E-09,1.91652280044429E-05,2.10257376528474E-10,2.0531955653516E-05,0,0,0,0,0,0,package://Robot/meshes/hip_hip_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/hip_hip_right_link.STL,,Right_Leg-1/Servo_MG996-4/MG996R Shaft-1;Right_Leg-1/Servo_MG996-4/MG996R-1;Right_Leg-1/ktc_1-1;Right_Leg-1/ktc_3-1;Right_Leg-1/ktS-4;Right_Leg-1/ktS-3,ver_hip_right_cor,ver_hip_right_axis,hip_hip_right_joint,revolute,0.0309000000000001,-0.0204999999999999,-0.0126,0,1.5707963267949,0,base_hip_right_link,0,0,-1,1.08,6.16,-0.69813,0.5236,,,,,,,,
hip_knee_right_link,6.75284841447632E-08,-0.0230508584855279,-0.0217598647713266,0,0,0,0.0763616529215023,3.20341469292307E-05,-1.04977224220533E-10,-5.07154008711145E-11,1.19774258417233E-05,-9.67413631360466E-09,2.36869366403767E-05,0,0,0,0,0,0,package://Robot/meshes/hip_knee_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/hip_knee_right_link.STL,,Right_Leg-1/Servo_MG996-3/MG996R Shaft-1;Right_Leg-1/Servo_MG996-3/MG996R-1;Right_Leg-1/od-1;Right_Leg-1/od-2,knee_right_cor,knee_right_axis,hip_knee_right_joint,revolute,0,-0.0600000000000001,0,0,0,0,hip_hip_right_link,0,0,-1,1.08,6.16,-1.3963,1.3963,,,,,,,,
knee_ankle_right_link,3.93736869567438E-05,-0.0275155508768183,-0.0211910938148555,0,0,0,0.0298519989099933,9.5669713871131E-06,1.6471871683677E-06,4.48957279114112E-07,1.00406929638069E-05,-1.44787293328077E-06,9.63973144953535E-06,0,0,0,0,0,0,package://Robot/meshes/knee_ankle_right_link.STL,0.949019607843137,0.76078431372549,0.180392156862745,1,0,0,0,0,0,0,package://Robot/meshes/knee_ankle_right_link.STL,,Right_Leg-1/Servo_MG996-2/MG996R Shaft-1;Right_Leg-1/mcc_2-1;Right_Leg-1/mcc_3-1;Right_Leg-1/ktS-1;Right_Leg-1/ktS-2;Right_Leg-1/mcc_1-1,ver_ankle_right_cor,ver_ankle_right_axis,knee_ankle_right_joint,revolute,0,-0.1034,0,0,0,0,hip_knee_right_link,0,0,-1,1.08,6.16,-0.69813,0.34907,,,,,,,,
