Episode,Reward,Steps,Reason,Time
0,-100.00,1,SKIP_RESET,23:07:37
1,-70.00,7,FALL,23:07:42
2,-100.00,1,SKIP_RESET,23:07:46
3,-45.00,12,FALL,23:07:51
4,-100.00,1,SKIP_RESET,23:07:55
5,-35.00,14,FALL,23:08:00
6,-100.00,1,SKIP_RESET,23:08:04
7,-45.00,12,FALL,23:08:09
8,-100.00,1,SKIP_RESET,23:08:13
8,-5.00,20,FALL,23:09:04
9,-60.00,9,FALL,23:09:08
10,-100.00,1,SKIP_RESET,23:09:12
11,-20.00,17,FALL,23:09:17
12,-100.00,1,SKIP_RESET,23:09:21
12,-60.00,9,FALL,23:10:39
13,-100.00,1,SKIP_RESET,23:10:43
14,-25.00,16,FALL,23:10:47
15,-100.00,1,SKIP_RESET,23:10:51
16,-55.00,10,FALL,23:10:55
17,-40.00,13,FALL,23:14:00
18,-100.00,1,SKIP_RESET,23:14:05
