Episode,Reward,Steps,Reason,Time
0,50.60,54,FALL,23:45:02
1,-50.75,18,FALL,23:45:07
2,86.78,65,FALL,23:45:13
3,-23.28,28,FALL,23:45:19
4,35.64,48,FALL,23:45:26
5,27.00,45,FALL,23:45:32
6,-41.33,21,FALL,23:45:37
7,26.35,45,FALL,23:45:42
8,29.66,46,FALL,23:45:48
9,10.12,39,FALL,23:45:53
10,-36.96,23,FALL,23:45:57
11,17.13,41,FALL,23:46:03
12,1.48,36,FALL,23:46:08
13,-46.98,19,FALL,23:46:12
14,-39.31,22,FALL,23:46:18
15,-36.56,23,FALL,23:46:23
16,-45.88,19,FALL,23:46:28
17,-21.31,28,FALL,23:46:33
18,-47.29,19,FALL,23:46:38
19,22.39,43,FALL,23:46:43
20,-48.01,19,FALL,23:46:47
21,-50.92,18,FALL,23:46:52
22,77.25,63,FALL,23:46:58
23,-52.91,17,FALL,23:47:03
24,-47.93,19,FALL,23:47:07
25,-47.55,19,FALL,23:47:12
26,-16.16,30,FALL,23:47:17
27,-50.63,18,FALL,23:47:23
28,2.21,36,FALL,23:47:28
29,-17.42,30,FALL,23:47:33
30,0.00,0,SKIP_RESET,23:47:38
