Episode,Reward,Steps,Reason,Time
0,-28.36,31,FALL,21:22:15
1,4.84,44,FALL,21:22:21
2,6.12,41,FALL,21:22:26
3,-43.28,24,FALL,21:22:31
4,-40.39,24,FALL,21:22:37
5,-69.87,14,FALL,21:22:41
6,-39.19,23,FALL,21:22:46
7,-33.54,29,FALL,21:22:52
8,-76.24,12,FALL,21:22:56
9,-75.13,12,FALL,21:23:00
10,-75.53,12,FALL,21:23:04
11,6.64,43,FALL,21:23:10
12,-52.90,19,FALL,21:23:15
13,-45.05,24,FALL,21:23:20
14,-67.68,14,FALL,21:23:24
15,-0.34,39,FALL,21:23:30
16,-69.93,13,FALL,21:23:34
17,-81.43,8,FALL,21:23:39
18,-50.65,20,FALL,21:23:44
19,-76.60,11,FALL,21:23:48
20,-57.28,19,FALL,21:23:53
21,-75.08,12,FALL,21:23:57
22,-32.98,27,FALL,21:24:03
23,-61.93,17,FALL,21:24:08
24,-59.96,17,FALL,21:24:12
25,-70.78,13,FALL,21:24:17
26,-2.69,40,FALL,21:24:23
27,109.36,80,FALL,21:24:30
28,-63.40,16,FALL,21:24:35
29,-64.77,14,FALL,21:24:40
30,-22.03,32,FALL,21:24:46
31,-46.20,21,FALL,21:24:51
32,-20.10,33,FALL,21:24:56
33,-81.43,9,FALL,21:25:00
34,-23.26,29,FALL,21:25:05
35,-42.72,22,FALL,21:25:10
36,-46.47,22,FALL,21:25:15
37,-73.64,12,FALL,21:25:20
38,-71.86,13,FALL,21:25:25
39,-19.14,34,FALL,21:25:30
40,-39.40,26,FALL,21:25:35
41,-40.87,25,FALL,21:25:40
42,-69.38,13,FALL,21:25:45
43,-11.87,33,FALL,21:25:50
44,31.49,50,FALL,21:25:56
45,-75.07,11,FALL,21:26:00
46,-51.79,20,FALL,21:26:04
47,-29.32,27,FALL,21:26:09
48,-50.55,20,FALL,21:26:13
49,1.37,40,FALL,21:26:19
50,-64.49,15,FALL,21:26:23
51,-67.60,17,FALL,21:26:28
52,-71.42,13,FALL,21:26:33
53,-42.82,23,FALL,21:26:37
54,-23.72,33,FALL,21:26:43
55,-67.95,13,FALL,21:26:47
56,-30.74,28,FALL,21:26:52
57,-21.61,30,FALL,21:26:57
58,-77.06,9,FALL,21:27:01
59,-64.69,15,FALL,21:27:05
60,-52.29,20,FALL,21:27:11
61,-48.54,20,FALL,21:27:16
62,-75.79,12,FALL,21:27:20
63,-35.50,27,FALL,21:27:25
64,15.53,44,FALL,21:27:30
65,-71.06,14,FALL,21:27:35
66,-67.30,13,FALL,21:27:40
67,-70.38,14,FALL,21:27:44
68,-70.70,13,FALL,21:27:48
69,-11.34,34,FALL,21:27:53
70,-79.13,10,FALL,21:27:57
71,-47.17,23,FALL,21:28:02
72,-64.87,15,FALL,21:28:07
73,-70.26,12,FALL,21:28:11
74,-10.71,35,FALL,21:28:16
75,-7.61,36,FALL,21:28:21
76,-50.49,19,FALL,21:28:25
77,11.33,42,FALL,21:28:31
78,-63.83,15,FALL,21:28:36
79,-52.88,19,FALL,21:28:41
80,-79.13,10,FALL,21:28:45
81,-66.53,14,FALL,21:28:50
82,-53.43,19,FALL,21:28:55
83,-48.29,21,FALL,21:29:00
84,-19.82,33,FALL,21:29:05
85,-43.13,24,FALL,21:29:11
86,-73.97,10,FALL,21:29:15
87,58.39,58,FALL,21:29:22
88,-84.93,9,FALL,21:29:27
89,-3.67,39,FALL,21:29:32
90,-68.66,13,FALL,21:29:36
91,-68.04,12,FALL,21:29:41
92,-35.88,25,FALL,21:29:46
93,65.18,62,FALL,21:29:52
94,-38.67,25,FALL,21:29:58
95,-85.47,7,FALL,21:30:02
96,-51.96,22,FALL,21:30:06
97,-72.99,11,FALL,21:30:10
98,-74.68,10,FALL,21:30:15
99,-40.84,25,FALL,21:30:20
100,-71.43,13,FALL,21:30:25
101,-69.77,15,FALL,21:30:29
102,-63.24,16,FALL,21:30:33
103,-80.77,8,FALL,21:30:38
104,-62.69,19,FALL,21:30:42
105,-10.88,39,FALL,21:30:48
106,-21.65,31,FALL,21:30:53
107,-63.67,14,FALL,21:30:57
108,-65.82,15,FALL,21:31:02
109,-59.47,17,FALL,21:31:06
110,-63.35,16,FALL,21:31:11
111,-64.13,17,FALL,21:31:16
112,-74.93,11,FALL,21:31:21
113,-81.80,13,FALL,21:31:25
114,-74.80,11,FALL,21:31:30
115,-85.91,11,FALL,21:31:34
116,-83.69,10,FALL,21:31:38
117,-64.80,13,FALL,21:31:43
118,-14.44,33,FALL,21:31:48
119,-82.78,8,FALL,21:31:53
120,-85.63,8,FALL,21:31:57
121,-70.41,11,FALL,21:32:01
122,-85.55,10,FALL,21:32:05
123,-56.09,19,FALL,21:32:10
124,-72.40,17,FALL,21:32:15
125,-41.07,21,FALL,21:32:20
126,-53.51,22,FALL,21:32:25
127,-86.07,10,FALL,21:32:30
128,-52.40,23,FALL,21:32:35
129,4.80,41,FALL,21:32:41
130,-83.81,8,FALL,21:32:45
131,-69.84,12,FALL,21:32:49
132,-80.80,11,FALL,21:32:54
133,64.57,62,FALL,21:33:01
134,-66.71,14,FALL,21:33:05
135,-49.47,22,FALL,21:33:10
136,-76.11,11,FALL,21:33:15
137,-32.91,27,FALL,21:33:20
138,-56.93,23,FALL,21:33:25
139,-72.30,12,FALL,21:33:30
140,-47.71,23,FALL,21:33:35
141,5.59,41,FALL,21:33:41
142,-89.36,6,FALL,21:33:45
143,-47.74,20,FALL,21:33:50
144,-61.16,17,FALL,21:33:55
145,-40.29,26,FALL,21:34:00
146,-43.11,24,FALL,21:34:05
147,-56.17,18,FALL,21:34:09
148,-38.38,25,FALL,21:34:15
149,-75.92,13,FALL,21:34:19
150,-70.62,17,FALL,21:34:24
