Episode,Reward,Steps,Reason,Time
0,821.25,262,FALL,14:08:54
1,240.79,93,FALL,14:09:02
2,89.73,55,FALL,14:09:09
3,239.53,97,FALL,14:09:18
4,25.02,40,FALL,14:09:23
5,599.36,192,FALL,14:09:37
6,124.84,66,FALL,14:09:44
7,288.93,110,FALL,14:09:54
8,288.49,109,FALL,14:10:03
9,754.21,234,FALL,14:10:19
10,278.23,108,FALL,14:10:28
11,398.28,139,FALL,14:10:38
12,121.68,64,FALL,14:10:45
13,198.15,85,FALL,14:10:52
14,149.19,70,FALL,14:11:00
15,225.84,90,FALL,14:11:08
16,311.64,118,FALL,14:11:18
17,319.08,122,FALL,14:11:28
18,604.78,192,FALL,14:11:40
19,1127.18,350,FALL,14:12:00
20,1223.50,359,FALL,14:12:21
21,689.84,211,FALL,14:12:34
22,223.18,93,FALL,14:12:43
23,678.04,211,FALL,14:12:56
24,1840.93,524,FALL,14:13:24
25,33.72,39,FALL,14:13:29
26,666.53,208,FALL,14:13:42
27,299.12,111,FALL,14:13:50
28,753.92,228,FALL,14:14:05
29,611.98,196,FALL,14:14:17
30,645.87,210,FALL,14:14:30
31,614.69,196,FALL,14:14:43
32,599.58,188,FALL,14:14:55
33,375.65,132,FALL,14:15:05
34,1291.24,381,FALL,14:15:26
35,613.04,199,FALL,14:15:39
36,657.68,208,FALL,14:15:52
37,662.57,206,FALL,14:16:06
38,1163.39,347,FALL,14:16:25
39,1916.02,537,FALL,14:16:54
40,533.78,167,FALL,14:17:05
41,663.14,203,FALL,14:17:18
42,613.57,196,FALL,14:17:31
43,635.47,196,FALL,14:17:44
44,601.46,188,FALL,14:17:56
45,714.54,221,FALL,14:18:10
46,1445.21,406,FALL,14:18:31
47,644.91,208,FALL,14:18:44
48,668.82,204,FALL,14:18:57
49,827.15,251,FALL,14:19:12
50,3807.28,1031,FALL,14:20:03
51,684.06,212,FALL,14:20:16
52,681.41,201,FALL,14:20:29
53,759.66,226,FALL,14:20:43
54,595.27,189,FALL,14:20:56
55,697.40,215,FALL,14:21:10
56,652.14,203,FALL,14:21:22
57,665.04,200,FALL,14:21:35
58,2574.68,704,FALL,14:22:12
59,653.90,199,FALL,14:22:25
60,724.41,216,FALL,14:22:39
61,2016.93,553,FALL,14:23:08
62,1309.62,363,FALL,14:23:28
63,654.30,197,FALL,14:23:41
64,1410.77,389,FALL,14:24:02
65,752.32,216,FALL,14:24:16
66,685.68,205,FALL,14:24:29
67,752.79,223,FALL,14:24:43
68,638.92,198,FALL,14:24:55
69,705.59,214,FALL,14:25:09
70,642.75,193,FALL,14:25:21
71,702.47,210,FALL,14:25:34
72,1297.37,359,FALL,14:25:54
73,653.91,199,FALL,14:26:07
74,737.32,224,FALL,14:26:20
75,675.17,201,FALL,14:26:33
76,1329.31,375,FALL,14:26:55
77,764.15,224,FALL,14:27:09
78,658.60,201,FALL,14:27:22
79,710.05,217,FALL,14:27:36
80,1333.10,379,FALL,14:27:56
81,1392.76,380,FALL,14:28:16
82,690.44,203,FALL,14:28:29
83,674.88,201,FALL,14:28:42
84,1382.62,388,FALL,14:29:03
85,697.44,203,FALL,14:29:16
86,1245.66,350,FALL,14:29:36
87,626.04,194,FALL,14:29:48
88,661.29,193,FALL,14:30:01
89,672.26,201,FALL,14:30:13
90,700.51,203,FALL,14:30:26
91,695.17,201,FALL,14:30:39
92,781.44,220,FALL,14:30:52
93,652.63,200,FALL,14:31:05
94,682.48,202,FALL,14:31:17
95,667.25,204,FALL,14:31:30
96,746.64,222,FALL,14:31:44
97,775.25,225,FALL,14:31:57
98,1925.64,517,FALL,14:32:24
99,743.89,219,FALL,14:32:38
100,726.74,213,FALL,14:32:51
101,728.56,214,FALL,14:33:05
102,679.43,199,FALL,14:33:17
103,1386.54,371,FALL,14:33:37
104,683.86,200,FALL,14:33:50
105,818.06,223,FALL,14:34:03
106,718.15,199,FALL,14:34:15
107,784.80,213,FALL,14:34:29
108,1384.97,365,FALL,14:34:49
109,1455.67,380,FALL,14:35:09
110,1450.62,374,FALL,14:35:28
111,659.44,192,FALL,14:35:41
112,734.46,203,FALL,14:35:53
113,717.78,203,FALL,14:36:06
114,725.58,200,FALL,14:36:18
115,780.35,215,FALL,14:36:31
116,813.60,217,FALL,14:36:44
117,727.72,199,FALL,14:36:56
118,787.99,212,FALL,14:37:09
119,750.59,202,FALL,14:37:22
120,754.85,204,FALL,14:37:35
121,2074.03,523,FALL,14:38:01
122,1369.43,352,FALL,14:38:20
123,3514.11,864,FALL,14:39:03
124,2269.32,564,FALL,14:39:32
125,693.35,193,FALL,14:39:43
126,747.80,199,FALL,14:39:56
127,3604.15,885,FALL,14:40:39
128,1471.04,375,FALL,14:41:00
129,816.63,221,FALL,14:41:13
130,805.70,213,FALL,14:41:25
131,817.61,219,FALL,14:41:39
132,771.31,206,FALL,14:41:51
133,749.58,207,FALL,14:42:04
134,736.87,198,FALL,14:42:17
135,833.69,231,FALL,14:42:32
136,761.47,203,FALL,14:42:44
137,1613.48,400,FALL,14:43:06
138,762.91,211,FALL,14:43:19
139,788.84,215,FALL,14:43:33
140,812.03,216,FALL,14:43:47
141,841.25,228,FALL,14:44:00
142,772.31,207,FALL,14:44:13
143,3008.30,732,FALL,14:44:49
144,1396.17,356,FALL,14:45:09
145,780.55,206,FALL,14:45:21
146,2119.69,528,FALL,14:45:49
147,730.19,196,FALL,14:46:02
148,761.12,205,FALL,14:46:14
149,794.38,209,FALL,14:46:27
150,2860.10,702,FALL,14:47:02
151,2882.62,709,FALL,14:47:37
152,1444.25,365,FALL,14:47:57
153,807.48,215,FALL,14:48:10
154,878.21,237,FALL,14:48:24
155,2138.73,534,FALL,14:48:51
156,2129.67,533,FALL,14:49:19
157,1486.55,376,FALL,14:49:38
158,1505.38,383,FALL,14:49:59
159,1428.61,365,FALL,14:50:19
160,794.99,212,FALL,14:50:32
161,713.14,193,FALL,14:50:44
162,762.19,204,FALL,14:50:56
163,1357.63,349,FALL,14:51:16
164,794.52,217,FALL,14:51:29
165,848.37,222,FALL,14:51:43
166,724.11,198,FALL,14:51:55
167,1378.82,345,FALL,14:52:14
168,761.58,209,FALL,14:52:27
169,757.74,204,FALL,14:52:40
170,843.73,219,FALL,14:52:53
171,743.83,201,FALL,14:53:06
172,828.82,222,FALL,14:53:20
173,1553.96,391,FALL,14:53:41
174,1409.58,360,FALL,14:54:00
175,3738.38,897,FALL,14:54:44
176,1439.48,359,FALL,14:55:04
177,770.01,203,FALL,14:55:16
178,745.08,201,FALL,14:55:29
179,2204.64,542,FALL,14:55:57
180,2105.47,519,FALL,14:56:23
181,1568.03,383,FALL,14:56:43
182,833.03,216,FALL,14:56:56
183,2903.70,703,FALL,14:57:31
184,1502.54,372,FALL,14:57:51
185,844.76,229,FALL,14:58:06
186,801.11,216,FALL,14:58:19
187,801.04,219,FALL,14:58:33
188,1563.23,388,FALL,14:58:53
189,3699.48,888,FALL,14:59:36
190,2202.86,538,FALL,15:00:02
