Episode,Reward,Steps,Pushes_Survived,Total_Pushes,Reason,STD,Time
0,47.28,18,0,0,IK_FAIL,0.2000,11:28:42
1,0.00,0,0,0,IK_FAIL,0.2000,11:28:53
2,0.00,0,0,0,IK_FAIL,0.2000,11:29:45
3,394.91,63,0,0,IK_FAIL,0.2000,12:01:08
4,29.60,11,0,0,IK_FAIL,0.2000,12:01:12
5,0.00,0,0,0,IK_FAIL,0.2000,12:01:23
6,26.44,9,0,0,IK_FAIL,0.2000,12:08:51
7,4.56,2,0,0,IK_FAIL,0.2000,12:08:59
8,27.68,10,0,0,IK_FAIL,0.2000,12:09:15
9,6.71,6,0,0,IK_FAIL,0.2000,12:09:22
10,12.59,10,0,0,IK_FAIL,0.2000,12:09:30
11,7.52,3,0,0,IK_FAIL,0.2000,12:09:46
12,20.94,6,0,0,IK_FAIL,0.2000,12:10:01
13,10.19,4,0,0,IK_FAIL,0.2000,12:10:09
14,5.18,2,0,0,IK_FAIL,0.2000,12:10:16
15,5.39,2,0,0,IK_FAIL,0.2000,12:11:17
16,8.88,4,0,0,IK_FAIL,0.2000,12:11:26
17,30.93,14,0,0,IK_FAIL,0.2000,12:11:37
18,25.05,8,0,0,IK_FAIL,0.2000,12:14:29
19,5.74,2,0,0,IK_FAIL,0.2000,12:14:37
20,19.11,6,0,0,IK_FAIL,0.1990,12:14:44
21,51.15,17,0,0,IK_FAIL,0.2000,12:15:33
22,47.17,19,0,0,IK_FAIL,0.2000,12:15:48
23,35.15,12,0,0,IK_FAIL,0.2000,12:16:04
24,13.29,5,0,0,IK_FAIL,0.2000,12:16:20
25,14.76,12,0,0,IK_FAIL,0.2000,12:16:27
26,8.23,3,0,0,IK_FAIL,0.2000,12:16:35
27,6.99,3,0,0,IK_FAIL,0.2000,12:16:42
28,13.35,5,0,0,IK_FAIL,0.2000,12:21:12
29,10.25,4,0,0,IK_FAIL,0.2000,12:21:22
30,8.74,6,0,0,IK_FAIL,0.2000,12:21:31
31,19.01,7,0,0,IK_FAIL,0.2000,12:21:55
32,15.09,6,0,0,IK_FAIL,0.2000,12:22:04
33,8.13,3,0,0,IK_FAIL,0.2000,12:22:24
34,367.09,131,0,1,IK_FAIL,0.2000,12:24:38
35,273.86,102,0,1,IK_FAIL,0.2000,12:24:50
36,19.32,9,0,0,IK_FAIL,0.2000,12:25:00
37,325.05,122,0,1,IK_FAIL,0.2000,12:25:48
38,4.44,6,0,0,IK_FAIL,0.2000,12:25:58
39,15.26,6,0,0,IK_FAIL,0.2000,12:27:23
40,102.39,38,0,0,IK_FAIL,0.1990,12:27:40
